id,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,featured,cleaned_name,cleaned_artists,cleaned_artists_2,duration_s,duration_m
1cS0TgbR263ey9jn0MwD2,0.74800002574920654,0.74900001287460327,8,-5.9159998893737793,0,0.51599997282028198,0.14200000464916229,0,7.1299999952316284E-2,0.6589999794960022,90.089996337890625,221013,4,1,river,eminem,(feat. ed sheeran),221,3.68
6KuqAtoeVzxAYOaMveLNp,0.79100000858306885,0.84799998998641968,1,-3.4560000896453857,1,5.0599999725818634E-2,0.18299999833106995,0,0.40900000929832458,0.82800000905990601,95,200480,4,0,dura,daddy yankee,,200,3.34
2xLMifQCjDGFmkHkpNLD9,0.83399999141693115,0.73000001907348633,8,-3.7139999866485596,1,0.22200000286102295,5.1299999468028545E-3,0,0.12399999797344208,0.44600000977516174,155.00799560546875,312820,4,0,sicko mode,travis scott,,312,5.21
1zB4vmk8tFRmM9UULNzbL,0.60500001907348633,0.82200002670288086,0,-4.8330001831054688,1,4.3800000101327896E-2,6.7099998705089092E-3,0.13400000333786011,0.14699999988079071,0.28799998760223389,167.99699401855469,187147,4,0,thunder,imagine dragons,,187,3.12
6jA8JUuPCGYjFcgw0AoM5,0.77700001001358032,0.77899998426437378,0,-4.4489998817443848,0,9.7199998795986176E-2,0.05429999902844429,0,0.63599997758865356,0.76800000667572021,94.023002624511719,221653,4,0,me niego,reik,,221,3.69
4kWO6O1BUXcZmaxitpVUw,0.74699997901916504,0.83399999141693115,3,-2.8670001029968262,0,4.5000001788139343E-2,0.37400001287460327,0,5.8600001037120819E-2,0.68699997663497925,128.0050048828125,215760,4,0,jackie chan,ti?sto,,215,3.60
3Vo4wInECJQuz9BIBMOu8,0.70399999618530273,0.85900002717971802,5,-4.8769998550415039,0,0.09960000216960907,1.8500000238418579E-2,0,2.1500000730156898E-2,0.92599999904632568,105.11499786376953,217289,4,1,finesse,bruno mars,(remix) [feat. cardi b],217,3.62
4hQ6UGyWQIGJmHSo0J88J,0.60100001096725464,0.72399997711181641,6,-4.8559999465942383,1,4.8599999397993088E-2,9.4499997794628143E-2,1.6799999684735667E-6,0.11999999731779099,0.50800001621246338,102.06099700927734,207905,4,0,back to you - from 13 reasons why ? season 2 soundtrack,selena gomez,,207,3.47
52okn5MNA47tk87PeZJLE,0.65600001811981201,0.72100001573562622,5,-5.6649999618530273,0,0.12200000137090683,0.29800000786781311,0,0.17299999296665192,0.46799999475479126,148.06599426269531,212120,4,0,let you down,nf,,212,3.54
1gm616Plq4ScqNi7TVkZ5,0.48899999260902405,0.59799998998641968,1,-4.9289999008178711,1,3.5999998450279236E-2,0.21799999475479126,0,0.34999999403953552,0.17200000584125519,134.04499816894531,228373,3,0,call out my name,the weeknd,,228,3.81
7sO5G9EABYOXQKNPNiE9N,0.87999999523162842,0.42800000309944153,9,-8.2799997329711914,1,0.20600000023841858,0.14900000393390656,5.070000042906031E-5,0.11400000005960464,0.33300000429153442,100.00700378417969,172800,4,1,ric flair drip,offset,(& metro boomin),172,2.88
2dpaYNEQHiRxtZbfNsse9,0.68699997663497925,0.79199999570846558,5,-2.749000072479248,1,4.5200001448392868E-2,0.19099999964237213,0,0.16699999570846558,0.67100000381469727,100.01499938964844,214290,4,0,happier,marshmello,,214,3.57
1mXVgsBdtIVeCLJnSnmtd,0.69800001382827759,0.375,5,-8.2790002822875977,1,4.9100000411272049E-2,0.65200001001358032,0,0.17299999296665192,0.5339999794960022,91.919998168945313,201000,4,0,too good at goodbyes,sam smith,,201,3.35
10Igtw8bSDyyFs7KIsKng,0.75499999523162842,0.59899997711181641,8,-5.0419998168945313,1,0.22400000691413879,0.14699999988079071,0,0.10899999737739563,0.75499999523162842,133.12300109863281,216632,4,1,freaky friday,lil dicky,(feat. chris brown),216,3.61
0pqnGHJpmpxLKifKRmU6W,0.77600002288818359,0.77999997138977051,10,-4.374000072479248,0,0.12800000607967377,6.2199998646974564E-2,0,8.1000000238418579E-2,0.66600000858306885,124.94899749755859,204347,4,0,believer,imagine dragons,,204,3.41
2E124GmJRnBJuXbTb4cPU,0.9309999942779541,0.38699999451637268,1,-9.1269998550415039,1,0.41200000047683716,8.7999999523162842E-2,0,0.13600000739097595,0.37599998712539673,125.97799682617188,179405,4,1,fefe,6ix9ine,(feat. nicki minaj & murda beatz),179,2.99
3KLygy1YWhmrQx0GRs7IO,0.68699997663497925,0.7850000262260437,1,-4.6500000953674316,1,3.3300001174211502E-2,0.32699999213218689,0,0.20299999415874481,0.65499997138977051,106.04599761962891,194408,4,0,rise,jonas blue,,194,3.24
7K7MUBCnzgBAvMVW2RTWN,0.75199997425079346,0.76399999856948853,1,-4.3990001678466797,1,3.7999998778104782E-2,4.7600001096725464E-2,9.4399998488370329E-5,0.05429999902844429,0.5820000171661377,121.95800018310547,163216,4,1,body,loud luxury,(feat. brando),163,2.72
7GX5flRQZVHRAGd6B4TmD,0.73199999332427979,0.75,11,-6.3660001754760742,0,0.23100000619888306,2.6400000788271427E-3,0,0.10899999737739563,0.40099999308586121,155.09599304199219,182707,4,0,xo tour llif3,lil uzi vert,,182,3.05
2ijef6ni2amuunRoKTlgw,0.79100000858306885,0.74500000476837158,11,-3.6949999332427979,0,4.6399999409914017E-2,0.35400000214576721,2.9299999368959107E-5,0.10400000214576721,0.81999999284744263,94.013999938964844,188560,4,0,sin pijama,becky g,,188,3.14
2BgEsaKNfHUdlh97KmvFy,0.69700002670288086,0.68300002813339233,1,-2.8810000419616699,0,0.11699999868869781,3.7200000137090683E-2,0,0.13699999451637268,0.6029999852180481,96.133003234863281,186987,4,0,2002,anne-marie,,186,3.12
0TlLq3lA83rQOYtrqBqSc,0.91200000047683716,0.41200000047683716,7,-8.074000358581543,1,0.12399999797344208,0.01640000008046627,1.3000000268220901E-2,0.10400000214576721,0.42199999094009399,154.98300170898438,238614,4,0,nonstop,drake,,238,3.98
7AQim7LbvFVZJE3O8TYgf,0.79699999094009399,0.53299999237060547,0,-9.7399997711181641,0,4.1200000792741776E-2,1.7200000584125519E-2,1.5199999324977398E-4,0.10300000011920929,0.32899999618530273,131.03599548339844,146520,4,1,fuck love,xxxtentacion,(feat. trippie redd),146,2.44
